"Freq [GHz]","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []","dB(S(2,3)) []","dB(S(2,4)) []","dB(S(3,4)) []"
1.064,-80.7384664278141,-77.8654913856877,-80.7337865550913,-80.6994789138775,-77.8403531963708,-80.7298938063907
1.06433333333333,-80.7292979339983,-77.8535710649085,-80.7245251243961,-80.6900770318449,-77.8284219306038,-80.720811496826
1.06466666666667,-80.7201147521211,-77.841642253202,-80.7152489768043,-80.6806605275293,-77.8164821506516,-80.7117145657889
1.065,-80.7109168582639,-77.8297049419645,-80.7059580891011,-80.6712293785409,-77.8045338478234,-80.70260298921
1.06533333333333,-80.7017042285114,-77.8177591225806,-80.6966524380767,-80.6617835624951,-77.792577013416,-80.6934767430209
1.06566666666667,-80.6924768389514,-77.8058047864231,-80.6873320005265,-80.6523230570129,-77.7806116387146,-80.6843358031547
1.066,-80.6832346656756,-77.7938419248528,-80.6779967532513,-80.6428478397205,-77.768637714992,-80.6751801455458
1.06633333333333,-80.6739776847792,-77.7818705292187,-80.6686466730577,-80.63335788825,-77.7566552335092,-80.6660097461304
1.06666666666667,-80.6647058723618,-77.7698905908576,-80.659281736758,-80.6238531802394,-77.7446641855147,-80.6568245808468
1.067,-80.6554192045269,-77.7579021010945,-80.6499019211705,-80.6143336933328,-77.7326645622452,-80.6476246256352
1.06733333333333,-80.6461176573824,-77.7459050512424,-80.64050720312,-80.6047994051805,-77.720656354925,-80.6384098564384
1.06766666666667,-80.6368012070411,-77.7338994326021,-80.6310975594372,-80.5952502934394,-77.7086395547659,-80.6291802492016
1.068,-80.6274698296205,-77.7218852364622,-80.62167296696,-80.5856863357729,-77.6966141529678,-80.6199357798727
1.06833333333333,-80.6181235012431,-77.7098624540994,-80.6122334025328,-80.5761075098513,-77.684580140718,-80.6106764244028
1.06866666666667,-80.6087621980366,-77.6978310767779,-80.6027788430072,-80.5665137933518,-77.6725375091915,-80.6014021587458
1.069,-80.5993858961345,-77.6857910957499,-80.5933092652418,-80.5569051639589,-77.6604862495508,-80.5921129588594
1.06933333333333,-80.5899945716756,-77.6737425022551,-80.5838246461028,-80.5472815993643,-77.648426352946,-80.5828088007048
1.06966666666667,-80.5805882008049,-77.661685287521,-80.574324962464,-80.5376430772676,-77.6363578105146,-80.5734896602467
1.07,-80.5711667596732,-77.6496194427626,-80.564810191207,-80.5279895753756,-77.6242806133816,-80.5641555134542
1.07033333333333,-80.5617302244379,-77.6375449591827,-80.5552803092215,-80.5183210714034,-77.6121947526594,-80.5548063363003
1.07066666666667,-80.5522785712628,-77.6254618279714,-80.5457352934054,-80.5086375430741,-77.6001002194477,-80.5454421047627
1.071,-80.5428117763183,-77.6133700403065,-80.5361751206648,-80.498938968119,-77.5879970048336,-80.5360627948236
